timestamp,connection,state,rtt,cwnd,ssthresh,rwnd,pacing_rate,delivery_rate,socket_tx_queue,socket_tx_buffer,socket_rx_queue,socket_rx_buffer,packets_out,retrans,retrans_rate
1763522525.172,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,0.0,17179869184.0,0.0,0,0.0
1763522527.351,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,2499280896.0,17179869184.0,0.0,0,0.0
1763522529.51,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,178520064.0,17179869184.0,0.0,0,0.0
1763522531.601,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522533.691,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,0.0,17179869184.0,0.0,0,0.0
1763522535.858,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,670564352.0,17179869184.0,0.0,0,0.0
1763522537.957,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522540.049,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522542.214,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,3213361152.0,17179869184.0,0.0,0,0.0
1763522544.306,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,0.0,17179869184.0,0.0,0,0.0
1763522546.389,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,0.0,17179869184.0,0.0,0,0.0
1763522548.482,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,4096.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522550.602,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,11499339776.0,17179869184.0,0.0,0,0.0
1763522552.687,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,178520064.0,17179869184.0,0.0,0,0.0
1763522554.779,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,178520064.0,17179869184.0,0.0,0,0.0
1763522556.889,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,1874460672.0,17179869184.0,0.0,0,0.0
1763522559.021,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,803340288.0,17179869184.0,0.0,0,0.0
1763522561.125,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,4096.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522563.206,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522565.307,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,71303168.0,17179869184.0,0.0,0,0.0
1763522567.392,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,357040128.0,17179869184.0,0.0,0,0.0
1763522569.479,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,0.0,17179869184.0,0.0,0,0.0
1763522571.597,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,8752201728.0,17179869184.0,0.0,0,0.0
1763522573.71,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,89260032.0,17179869184.0,0.0,0,0.0
1763522575.813,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,357040128.0,17179869184.0,0.0,0,0.0
1763522577.934,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,10713235456.0,17179869184.0,0.0,0,0.0
1763522580.057,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,14194180096.0,17179869184.0,0.0,0,0.0
1763522582.188,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,8212447232.0,17179869184.0,0.0,0,0.0
1763522584.292,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,4096.0,89128960.0,5266604032.0,17179869184.0,0.0,0,0.0
1763522586.412,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,3373924352.0,17179869184.0,0.0,0,0.0
1763522588.538,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,2048.0,89128960.0,45744128.0,17179869184.0,0.0,0,0.0
1763522590.675,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,6158942208.0,17179869184.0,0.0,0,0.0
1763522592.773,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,3112566784.0,17179869184.0,0.0,0,0.0
1763522594.861,::ffff:192.168.70.31:5201->::ffff:192.168.70.32:41656,ESTAB,0.056,10.0,0.0,12482248704.0,4139999999.9999995,0.0,0.0,89128960.0,1606680576.0,17179869184.0,0.0,0,0.0
